Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
19.55.2021 21:55:44,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0586387434554974
19.55.2021 21:55:49,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0560553633217995
19.55.2021 21:55:54,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.053516295025729
19.55.2021 21:55:59,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0510204081632653
19.56.2021 21:56:04,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.048566610455312
19.56.2021 21:56:09,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.046153846153846
19.56.2021 21:56:14,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0437810945273633
19.56.2021 21:56:19,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0414473684210526
19.56.2021 21:56:24,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.039151712887439
19.56.2021 21:56:29,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0368932038834955
19.56.2021 21:56:34,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0346709470304973
19.56.2021 21:56:39,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0324840764331213
19.56.2021 21:56:44,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0303317535545022
19.56.2021 21:56:49,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0282131661442
19.56.2021 21:56:54,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.026127527216174
19.56.2021 21:56:59,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0240740740740737
19.57.2021 21:57:04,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0220520673813174
19.57.2021 21:57:09,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0200607902735555
19.57.2021 21:57:14,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0180995475113117
19.57.2021 21:57:19,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0161676646706583
19.57.2021 21:57:24,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.009792284866469
19.57.2021 21:57:29,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.007952871870397
19.57.2021 21:57:34,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.0061403508771933
19.57.2021 21:57:39,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.004354136429608
19.57.2021 21:57:44,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.002593659942363
19.57.2021 21:57:49,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,3.000858369098712
19.57.2021 21:57:54,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9991477272727276
19.57.2021 21:57:59,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9974612129760225
19.58.2021 21:58:04,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.995798319327731
19.58.2021 21:58:09,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.994158553546592
19.58.2021 21:58:14,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.992541436464088
19.58.2021 21:58:19,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9909465020576134
19.58.2021 21:58:24,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9893732970027247
19.58.2021 21:58:29,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.987821380243572
19.58.2021 21:58:34,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.986290322580645
19.58.2021 21:58:39,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.984779706275034
